id;active;year;gender;want_spam;balance;undo_count
869;f;1994;M;t;0;0
870;f;2001;U;t;0;0
871;f;2014;M;t;18800;0
872;f;1985;M;t;0;0
873;f;1987;U;t;0;0
874;t;2014;M;t;0;0
875;f;2005;M;t;-5200;0
876;t;2016;M;t;0;0
877;f;1985;U;t;0;0
878;t;2015;M;t;10000;0
879;f;2010;M;t;29400;0
880;f;1986;M;t;0;0
881;f;1997;M;t;2175;0
882;f;1988;M;t;0;0
883;f;1984;U;t;0;0
884;f;2011;M;t;0;0
885;f;1986;U;t;0;0
886;f;1992;M;t;0;0
887;f;1993;M;t;5200;0
888;t;2013;M;t;250;0
889;f;1997;M;t;4850;0
890;f;2006;U;t;475;0
891;t;2016;M;t;500;0
892;t;2013;M;t;42150;0
893;f;1985;M;t;0;0
894;f;1996;M;t;0;0
895;f;2005;M;t;1100;0
896;f;1989;M;t;0;0
897;f;1998;M;t;0;0
898;f;2003;M;t;-700;0
